Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;target
13.880;1.890;2.590;15.000;101;3.250;3.560;0.170;1.700;5.430;0.880;3.560;1095;1
13.290;1.970;2.680;16.800;102;3.000;3.230;0.310;1.660;6.000;1.070;2.840;1270;1
13.160;2.360;2.670;18.600;101;2.800;3.240;0.300;2.810;5.680;1.030;3.170;1185;1
12.290;3.170;2.210;18.000;88;2.850;2.990;0.450;2.810;2.300;1.420;2.830;406;2
13.360;2.560;2.350;20.000;89;1.400;0.500;0.370;0.640;5.600;0.700;2.470;780;3
12.420;4.430;2.730;26.500;102;2.200;2.130;0.430;1.710;2.080;0.920;3.120;365;2
13.070;1.500;2.100;15.500;98;2.400;2.640;0.280;1.370;3.700;1.180;2.690;1020;1
13.840;4.120;2.380;19.500;89;1.800;0.830;0.480;1.560;9.010;0.570;1.640;480;3
13.490;1.660;2.240;24.000;87;1.880;1.840;0.270;1.030;3.740;0.980;2.780;472;2
12.250;1.730;2.120;19.000;80;1.650;2.030;0.370;1.630;3.400;1.000;3.170;510;2
12.080;1.130;2.510;24.000;78;2.000;1.580;0.400;1.400;2.200;1.310;2.720;630;2
13.270;4.280;2.260;20.000;120;1.590;0.690;0.430;1.350;10.200;0.590;1.560;835;3
11.790;2.130;2.780;28.500;92;2.130;2.240;0.580;1.760;3.000;0.970;2.440;466;2
12.220;1.290;1.940;19.000;92;2.360;2.040;0.390;2.080;2.700;0.860;3.020;312;2
11.650;1.670;2.620;26.000;88;1.920;1.610;0.400;1.340;2.600;1.360;3.210;562;2
12.200;3.030;2.320;19.000;96;1.250;0.490;0.400;0.730;5.500;0.660;1.830;510;3
11.460;3.740;1.820;19.500;107;3.180;2.580;0.240;3.580;2.900;0.750;2.810;562;2
12.850;3.270;2.580;22.000;106;1.650;0.600;0.600;0.960;5.580;0.870;2.110;570;3
13.050;2.050;3.220;25.000;124;2.630;2.680;0.470;1.920;3.580;1.130;3.200;830;1
13.050;5.800;2.130;21.500;86;2.620;2.650;0.300;2.010;2.600;0.730;3.100;380;2
14.380;1.870;2.380;12.000;102;3.300;3.640;0.290;2.960;7.500;1.200;3.000;1547;1
13.680;1.830;2.360;17.200;104;2.420;2.690;0.420;1.970;3.840;1.230;2.870;990;1
12.600;2.460;2.200;18.500;94;1.620;0.660;0.630;0.940;7.100;0.730;1.580;695;3
11.870;4.310;2.390;21.000;82;2.860;3.030;0.210;2.910;2.800;0.750;3.640;380;2
13.110;1.010;1.700;15.000;78;2.980;3.180;0.260;2.280;5.300;1.120;3.180;502;2
13.050;3.860;2.320;22.500;85;1.650;1.590;0.610;1.620;4.800;0.840;2.010;515;2
13.690;3.260;2.540;20.000;107;1.830;0.560;0.500;0.800;5.880;0.960;1.820;680;3
12.290;1.610;2.210;20.400;103;1.100;1.020;0.370;1.460;3.050;0.906;1.820;870;2
13.480;1.810;2.410;20.500;100;2.700;2.980;0.260;1.860;5.100;1.040;3.470;920;1
12.840;2.960;2.610;24.000;101;2.320;0.600;0.530;0.810;4.920;0.890;2.150;590;3
12.290;2.830;2.220;18.000;88;2.450;2.250;0.250;1.990;2.150;1.150;3.300;290;2
14.160;2.510;2.480;20.000;91;1.680;0.700;0.440;1.240;9.700;0.620;1.710;660;3
12.820;3.370;2.300;19.500;88;1.480;0.660;0.400;0.970;10.260;0.720;1.750;685;3
13.500;3.120;2.620;24.000;123;1.400;1.570;0.220;1.250;8.600;0.590;1.300;500;3
13.880;5.040;2.230;20.000;80;0.980;0.340;0.400;0.680;4.900;0.580;1.330;415;3
13.900;1.680;2.120;16.000;101;3.100;3.390;0.210;2.140;6.100;0.910;3.330;985;1
13.620;4.950;2.350;20.000;92;2.000;0.800;0.470;1.020;4.400;0.910;2.050;550;3
13.730;1.500;2.700;22.500;101;3.000;3.250;0.290;2.380;5.700;1.190;2.710;1285;1
11.960;1.090;2.300;21.000;101;3.380;2.140;0.130;1.650;3.210;0.990;3.130;886;2
11.560;2.050;3.230;28.500;119;3.180;5.080;0.470;1.870;6.000;0.930;3.690;465;2
14.390;1.870;2.450;14.600;96;2.500;2.520;0.300;1.980;5.250;1.020;3.580;1290;1
12.640;1.360;2.020;16.800;100;2.020;1.410;0.530;0.620;5.750;0.980;1.590;450;2
11.030;1.510;2.200;21.500;85;2.460;2.170;0.520;2.010;1.900;1.710;2.870;407;2
12.810;2.310;2.400;24.000;98;1.150;1.090;0.270;0.830;5.700;0.660;1.360;560;3
11.820;1.720;1.880;19.500;86;2.500;1.640;0.370;1.420;2.060;0.940;2.440;415;2
12.670;0.980;2.240;18.000;99;2.200;1.940;0.300;1.460;2.620;1.230;3.160;450;2
12.070;2.160;2.170;21.000;85;2.600;2.650;0.370;1.350;2.760;0.860;3.280;378;2
12.430;1.530;2.290;21.500;86;2.740;3.150;0.390;1.770;3.940;0.690;2.840;352;2
12.600;1.340;1.900;18.500;88;1.450;1.360;0.290;1.350;2.450;1.040;2.770;562;2
11.810;2.120;2.740;21.500;134;1.600;0.990;0.140;1.560;2.500;0.950;2.260;625;2
13.580;2.580;2.690;24.500;105;1.550;0.840;0.390;1.540;8.660;0.740;1.800;750;3
14.020;1.680;2.210;16.000;96;2.650;2.330;0.260;1.980;4.700;1.040;3.590;1035;1
12.770;3.430;1.980;16.000;80;1.630;1.250;0.430;0.830;3.400;0.700;2.120;372;2
12.850;1.600;2.520;17.800;95;2.480;2.370;0.260;1.460;3.930;1.090;3.630;1015;1
13.580;1.660;2.360;19.100;106;2.860;3.190;0.220;1.950;6.900;1.090;2.880;1515;1
12.520;2.430;2.170;21.000;88;2.550;2.270;0.260;1.220;2.000;0.900;2.780;325;2
14.340;1.680;2.700;25.000;98;2.800;1.310;0.530;2.700;13.000;0.570;1.960;660;3
12.000;0.920;2.000;19.000;86;2.420;2.260;0.300;1.430;2.500;1.380;3.120;278;2
13.080;3.900;2.360;21.500;113;1.410;1.390;0.340;1.140;9.400;0.570;1.330;550;3
14.100;2.020;2.400;18.800;103;2.750;2.920;0.320;2.380;6.200;1.070;2.750;1060;1
12.360;3.830;2.380;21.000;88;2.300;0.920;0.500;1.040;7.650;0.560;1.580;520;3
13.860;1.510;2.670;25.000;86;2.950;2.860;0.210;1.870;3.380;1.360;3.160;410;2
13.400;3.910;2.480;23.000;102;1.800;0.750;0.430;1.410;7.300;0.700;1.560;750;3
13.490;3.590;2.190;19.500;88;1.620;0.480;0.580;0.880;5.700;0.810;1.820;580;3
13.720;1.430;2.500;16.700;108;3.400;3.670;0.190;2.040;6.800;0.890;2.870;1285;1
13.830;1.570;2.620;20.000;115;2.950;3.400;0.400;1.720;6.600;1.130;2.570;1130;1
12.720;1.750;2.280;22.500;84;1.380;1.760;0.480;1.630;3.300;0.880;2.420;488;2
12.700;3.870;2.400;23.000;101;2.830;2.550;0.430;1.950;2.570;1.190;3.130;463;2
14.100;2.160;2.300;18.000;105;2.950;3.320;0.220;2.380;5.750;1.250;3.170;1510;1
12.370;1.630;2.300;24.500;88;2.220;2.450;0.400;1.900;2.120;0.890;2.780;342;2
12.370;1.070;2.100;18.500;88;3.520;3.750;0.240;1.950;4.500;1.040;2.770;660;2
13.240;2.590;2.870;21.000;118;2.800;2.690;0.390;1.820;4.320;1.040;2.930;735;1
12.690;1.530;2.260;20.700;80;1.380;1.460;0.580;1.620;3.050;0.960;2.060;495;2
13.110;1.900;2.750;25.500;116;2.200;1.280;0.260;1.560;7.100;0.610;1.330;425;3
13.860;1.350;2.270;16.000;98;2.980;3.150;0.220;1.850;7.220;1.010;3.550;1045;1
13.760;1.530;2.700;19.500;132;2.950;2.740;0.500;1.350;5.400;1.250;3.000;1235;1
13.520;3.170;2.720;23.500;97;1.550;0.520;0.500;0.550;4.350;0.890;2.060;520;3
14.300;1.920;2.720;20.000;120;2.800;3.140;0.330;1.970;6.200;1.070;2.650;1280;1
14.220;1.700;2.300;16.300;118;3.200;3.000;0.260;2.030;6.380;0.940;3.310;970;1
13.410;3.840;2.120;18.800;90;2.450;2.680;0.270;1.480;4.280;0.910;3.000;1035;1
13.830;1.650;2.600;17.200;94;2.450;2.990;0.220;2.290;5.600;1.240;3.370;1265;1
13.030;0.900;1.710;16.000;86;1.950;2.030;0.240;1.460;4.600;1.190;2.480;392;2
12.330;1.100;2.280;16.000;101;2.050;1.090;0.630;0.410;3.270;1.250;1.670;680;2
13.870;1.900;2.800;19.400;107;2.950;2.970;0.370;1.760;4.500;1.250;3.400;915;1
13.240;3.980;2.290;17.500;103;2.640;2.630;0.320;1.660;4.360;0.820;3.000;680;1
13.510;1.800;2.650;19.000;110;2.350;2.530;0.290;1.540;4.200;1.100;2.870;1095;1
13.050;1.770;2.100;17.000;107;3.000;3.000;0.280;2.030;5.040;0.880;3.350;885;1
13.820;1.750;2.420;14.000;111;3.880;3.740;0.320;1.870;7.050;1.010;3.260;1190;1
13.940;1.730;2.270;17.400;108;2.880;3.540;0.320;2.080;8.900;1.120;3.100;1260;1
